,Unnamed: 0,plate,object_id,ra,dec,mag_B,mag_R,spectrum_class,spectrum_length,red_bord_position,9,10,11,12,13,14,15,16,fits_path,jpeg_path
0,0,fbs0005,DFBSJ142114.64+425823.6,14:21:14.640,+42:58:23.63,13.86,13.15,OK,101,16,-2.1899813136998398e-11,-3.6659370011617584e-14,-9.37304348861448e-12,-1.5322935531966097e-09,1.0241762062125957e-11,-2.280213348012224e-14,2.1092592853381847e-17,-6.999758306783649e-21,specimages/fbs0005-DFBSJ142114.64+425823.6.fits,specimagesjpeg/fbs0005-DFBSJ142114.64+425823.6.jpg
1,1,fbs0005,DFBSJ142122.01+425921.3,14:21:22.012,+42:59:21.37,12.85,12.2,OK,106,13,-3.792762444045676e-11,-3.6479287660280763e-14,-1.2084785969590012e-11,-1.8658558204869104e-09,1.8013828798470515e-11,-4.706942470791473e-14,4.814869915189029e-17,-1.724177911936123e-20,specimages/fbs0005-DFBSJ142122.01+425921.3.fits,specimagesjpeg/fbs0005-DFBSJ142122.01+425921.3.jpg
2,2,fbs0005,DFBSJ142125.68+425138.2,14:21:25.688,+42:51:38.29,16.38,14.85,NL,83,17,-1.8153883892083206e-11,-1.3098811524461482e-14,-3.936085881933107e-12,-6.570810512308086e-10,3.287456046347678e-12,-6.007407059730228e-15,4.796813885997003e-18,-1.419619816384414e-21,specimages/fbs0005-DFBSJ142125.68+425138.2.fits,specimagesjpeg/fbs0005-DFBSJ142125.68+425138.2.jpg
3,3,fbs0005,DFBSJ142126.80+425301.4,14:21:26.802,+42:53:01.40,14.45,13.57,NL,120,17,-4.0779085650954044e-11,-2.942381854989065e-14,-8.84161093226339e-12,-1.4759948191304162e-09,8.681218409371392e-12,-1.793399518725934e-14,1.5738135036633065e-17,-5.009264678065062e-21,specimages/fbs0005-DFBSJ142126.80+425301.4.fits,specimagesjpeg/fbs0005-DFBSJ142126.80+425301.4.jpg
4,4,fbs0005,DFBSJ142141.43+430014.5,14:21:41.436,+43:00:14.59,16.39,16.47,NL,90,16,-1.0245079467988747e-12,-1.714980139991232e-15,-4.384845602924087e-13,-7.168273647380994e-11,5.490072000189691e-13,-1.3309553385975876e-15,1.317057790647524e-18,-4.632789963700636e-22,specimages/fbs0005-DFBSJ142141.43+430014.5.fits,specimagesjpeg/fbs0005-DFBSJ142141.43+430014.5.jpg
5,5,fbs0005,DFBSJ142145.60+425741.8,14:21:45.600,+42:57:41.81,17.01,16.58,U,27,18,-1.0000021096563417e-11,-2.6607086338689052e-15,-1.0326942931285648e-12,-1.7625394427522174e-10,8.974908934154484e-13,-1.6864913729805686e-15,1.3820075498198183e-18,-4.1689959411866375e-22,specimages/fbs0005-DFBSJ142145.60+425741.8.fits,specimagesjpeg/fbs0005-DFBSJ142145.60+425741.8.jpg
6,6,fbs0006,DFBSJ144118.92+425749.2,14:41:18.927,+42:57:49.27,15.95,14.96,U,116,16,-1.3209117452421872e-11,-2.2111562493364502e-14,-5.653476660214183e-12,-9.242262550487604e-10,5.038039651588413e-12,-1.0005802805904191e-14,8.614502033983366e-18,-2.723473850894945e-21,specimages/fbs0006-DFBSJ144118.92+425749.2.fits,specimagesjpeg/fbs0006-DFBSJ144118.92+425749.2.jpg
7,7,fbs0006,DFBSJ144119.77+430129.7,14:41:19.777,+43:01:29.72,12.38,12.04,OK,120,10,7.789383097151735e-10,8.888174487020093e-13,1.9826722991728392e-10,2.911844023105401e-08,-1.4200030072150138e-10,2.71175105137647e-13,-2.3778572641483435e-16,8.004468407807635e-20,specimages/fbs0006-DFBSJ144119.77+430129.7.fits,specimagesjpeg/fbs0006-DFBSJ144119.77+430129.7.jpg
8,8,fbs0006,DFBSJ144124.90+425948.6,14:41:24.903,+42:59:48.65,16.77,15.25,U,102,17,-2.3503972770352198e-11,-1.695912724209045e-14,-5.096078697632572e-12,-8.507272896728943e-10,4.366447313313073e-12,-8.256986736584821e-15,6.814367454667771e-18,-2.0738160053360916e-21,specimages/fbs0006-DFBSJ144124.90+425948.6.fits,specimagesjpeg/fbs0006-DFBSJ144124.90+425948.6.jpg
9,9,fbs0006,DFBSJ144129.51+425736.3,14:41:29.512,+42:57:36.34,16.14,15.48,U,81,18,-6.568866163065149e-12,-1.7477719856787302e-15,-6.783578748916879e-13,-1.1577740217841947e-10,8.252546310582924e-13,-1.840638699904164e-15,1.6666608293857862e-18,-5.352658234160423e-22,specimages/fbs0006-DFBSJ144129.51+425736.3.fits,specimagesjpeg/fbs0006-DFBSJ144129.51+425736.3.jpg
10,10,fbs0006,DFBSJ144135.00+430003.3,14:41:35.005,+43:00:03.33,16.59,15.93,U,85,17,-2.3429375585051885e-12,-1.69052132320804e-15,-5.079867625180969e-13,-8.480157162896309e-11,6.507402920292758e-13,-1.5192221932771225e-15,1.4290908185805874e-18,-4.755813941902387e-22,specimages/fbs0006-DFBSJ144135.00+430003.3.fits,specimagesjpeg/fbs0006-DFBSJ144135.00+430003.3.jpg
11,11,fbs0006,DFBSJ144136.84+425315.9,14:41:36.848,+42:53:15.98,14.31,12.92,OK,99,16,-8.864605679381968e-11,-1.483901481191644e-13,-3.794034251587046e-11,-6.202459907559029e-09,3.3695275555155324e-11,-6.671150984595793e-14,5.726745759946933e-17,-1.80551960094011e-20,specimages/fbs0006-DFBSJ144136.84+425315.9.fits,specimagesjpeg/fbs0006-DFBSJ144136.84+425315.9.jpg
12,12,fbs0006,DFBSJ144144.19+425739.1,14:41:44.197,+42:57:39.17,16.13,15.19,U,93,17,-1.3966629863493945e-11,-1.0077513399172413e-14,-3.0282089057716825e-12,-5.055213672601271e-10,2.8549162639247536e-12,-5.760219543429e-15,4.97975831297057e-18,-1.5690322365573714e-21,specimages/fbs0006-DFBSJ144144.19+425739.1.fits,specimagesjpeg/fbs0006-DFBSJ144144.19+425739.1.jpg
13,13,fbs0006,DFBSJ144149.19+425811.0,14:41:49.194,+42:58:11.02,15.15,14.47,OK,89,15,9.895505751248434e-13,-2.768743960444184e-14,-7.359165706638991e-12,-1.1793176680536024e-09,6.859704455151338e-12,-1.4296489885587487e-14,1.2800303312653359e-17,-4.186594357059403e-21,specimages/fbs0006-DFBSJ144149.19+425811.0.fits,specimagesjpeg/fbs0006-DFBSJ144149.19+425811.0.jpg
14,14,fbs0006,DFBSJ144150.64+430212.2,14:41:50.640,+43:02:12.20,16.75,15.77,U,79,20,-8.669999229139874e-14,-6.870182546405392e-16,-3.213101497093818e-13,-5.750983313864929e-11,4.272470141148914e-13,-9.41995788584048e-16,8.291560792281034e-19,-2.567707917893629e-22,specimages/fbs0006-DFBSJ144150.64+430212.2.fits,specimagesjpeg/fbs0006-DFBSJ144150.64+430212.2.jpg
